Title,Title_URL,Image,Image1,Price,Price2,Content,rating,cartcontrolsaddcart,Avg_price
Woolworths 8 Beef Sausages Honey Flavoured 600g,https://www.woolworths.com.au/shop/productdetails/820198/woolworths-8-beef-sausages-honey-flavoured,https://www.woolworths.com.au/content/promotiontags/roundel-buy-more-save-more-200x200.png,https://assets.woolworths.com.au/images/1005/820198.jpg?impolicy=wowsmkqiema&w=260&h=260,$7.00,$11.67 / 1KG,4.1,523, Add to cart , Save to list 
Woolworths 8 Pork Sausages 600g,https://www.woolworths.com.au/shop/productdetails/820810/woolworths-8-pork-sausages,https://www.woolworths.com.au/content/promotiontags/roundel-buy-more-save-more-200x200.png,https://assets.woolworths.com.au/images/1005/820810.jpg?impolicy=wowsmkqiema&w=260&h=260,$7.00,$11.67 / 1KG,4.3,1270, Add to cart , Save to list 
Woolworths Beef Rump Steak Medallion Small 300g,https://www.woolworths.com.au/shop/productdetails/675478/woolworths-beef-rump-steak-medallion-small,,https://assets.woolworths.com.au/images/1005/675478.jpg?impolicy=wowsmkqiema&w=260&h=260,,,,,, Save to list 
Ingham's Oven Roasted Turkey Breast Shaved From The Deli Per Kg,https://www.woolworths.com.au/shop/productdetails/27316/ingham-s-oven-roasted-turkey-breast-shaved-from-the-deli,,https://assets.woolworths.com.au/images/1005/27316.jpg?impolicy=wowsmkqiema&w=260&h=260,$28.00,$28.00 / 1KG,,, Add to cart , Save to list 
Bertocchi Sopressa Salami Hot Sliced From The Deli Per Kg,https://www.woolworths.com.au/shop/productdetails/14627/bertocchi-sopressa-salami-hot-sliced-from-the-deli,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/14627.jpg?impolicy=wowsmkqiema&w=260&h=260,$29.00,$29.00 / 1KG,,, Add to cart , Save to list 
Salmon Tasmanian Atlantic Fillets Skinned & Boned Per Kg,https://www.woolworths.com.au/shop/productdetails/126497/salmon-tasmanian-atlantic-fillets-skinned-boned,https://www.woolworths.com.au/content/promotiontags/supporting-aus-seafood-roundel-200x200.png,https://assets.woolworths.com.au/images/1005/126497.jpg?impolicy=wowsmkqiema&w=260&h=260,$36.00,$36.00 / 1KG,5.0,1, Add to cart , Save to list 
Woolworths Beef Rump Steak Medium 270g - 750g,https://www.woolworths.com.au/shop/productdetails/675318/woolworths-beef-rump-steak-medium,https://www.woolworths.com.au/content/promotiontags/australian-beef-roundel-200x200.png,https://assets.woolworths.com.au/images/1005/675318.jpg?impolicy=wowsmkqiema&w=260&h=260,$19.60,$28.00 / 1KG,4.3,306, Add to cart , Save to list 
Woolworths 10 Thin Beef Sausages 600g,https://www.woolworths.com.au/shop/productdetails/162378/woolworths-10-thin-beef-sausages,https://www.woolworths.com.au/content/promotiontags/roundel-buy-more-save-more-200x200.png,https://assets.woolworths.com.au/images/1005/162378.jpg?impolicy=wowsmkqiema&w=260&h=260,$7.00,$11.67 / 1KG,4.3,472, Add to cart , Save to list 
Bertocchi Sopressa Salami Mild Sliced From The Deli Per Kg,https://www.woolworths.com.au/shop/productdetails/14663/bertocchi-sopressa-salami-mild-sliced-from-the-deli,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/14663.jpg?impolicy=wowsmkqiema&w=260&h=260,$29.00,$29.00 / 1KG,,, Add to cart , Save to list 
Woolworths 16 Beef Chipolatas 600g,https://www.woolworths.com.au/shop/productdetails/820197/woolworths-16-beef-chipolatas,https://www.woolworths.com.au/content/promotiontags/roundel-buy-more-save-more-200x200.png,https://assets.woolworths.com.au/images/1005/820197.jpg?impolicy=wowsmkqiema&w=260&h=260,$7.00,$11.67 / 1KG,4.5,464, Add to cart , Save to list 
Woolworths Corned Beef Silverside 1kg - 2.1kg,https://www.woolworths.com.au/shop/productdetails/148345/woolworths-corned-beef-silverside,,https://assets.woolworths.com.au/images/1005/148345.jpg?impolicy=wowsmkqiema&w=260&h=260,$24.00,$12.00 / 1KG,4.6,410, Add to cart , Save to list 
Ocean Blue Smoked Salmon 300g,https://www.woolworths.com.au/shop/productdetails/365407/ocean-blue-smoked-salmon,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/365407.jpg?impolicy=wowsmkqiema&w=260&h=260,$14.00,$46.67 / 1KG,5.0,1, Add to cart , Save to list 
Tassal Smoked Salmon 250g,https://www.woolworths.com.au/shop/productdetails/847118/tassal-smoked-salmon,,https://assets.woolworths.com.au/images/1005/847118.jpg?impolicy=wowsmkqiema&w=260&h=260,$17.00,$68.00 / 1KG,,, Add to cart , Save to list 
Woolworths Corned Beef Shaved Per Kg,https://www.woolworths.com.au/shop/productdetails/747157/woolworths-corned-beef-shaved,,https://assets.woolworths.com.au/images/1005/747157.jpg?impolicy=wowsmkqiema&w=260&h=260,$25.00,$25.00 / 1KG,,, Add to cart , Save to list 
Woolworths Salmon Portions Skin On 4 Pack,https://www.woolworths.com.au/shop/productdetails/157054/woolworths-salmon-portions-skin-on,https://www.woolworths.com.au/content/promotiontags/supporting-aus-seafood-roundel-200x200.png,https://assets.woolworths.com.au/images/1005/157054.jpg?impolicy=wowsmkqiema&w=260&h=260,$15.00,$32.61 / 1KG,4.8,331, Add to cart , Save to list 
D'orsogna Tasty Sticks Mild 200g,https://www.woolworths.com.au/shop/productdetails/763141/d-orsogna-tasty-sticks-mild,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/763141.jpg?impolicy=wowsmkqiema&w=260&h=260,$6.40,$32.00 / 1KG,,, Add to cart , Save to list 
Primo Danish Salami 80g,https://www.woolworths.com.au/shop/productdetails/544699/primo-danish-salami,https://www.woolworths.com.au/content/promotiontags/roundel-buy-more-save-more-200x200.png,https://assets.woolworths.com.au/images/1005/544699.jpg?impolicy=wowsmkqiema&w=260&h=260,$3.70,$46.25 / 1KG,,, Add to cart , Save to list 
Ocean Blue Smoked Salmon 100g,https://www.woolworths.com.au/shop/productdetails/345350/ocean-blue-smoked-salmon,,https://assets.woolworths.com.au/images/1005/345350.jpg?impolicy=wowsmkqiema&w=260&h=260,$7.50,$75.00 / 1KG,,, Add to cart , Save to list 
Chicken Sandwich Schnitzel Each,https://www.woolworths.com.au/shop/productdetails/666237/chicken-sandwich-chicken-sandwich-schnitzel,,https://assets.woolworths.com.au/images/1005/666237.jpg?impolicy=wowsmkqiema&w=260&h=260,,,4.2,492,, Save to list 
Chicken Schnitzel Crumbed Each,https://www.woolworths.com.au/shop/productdetails/351196/chicken-schnitzel-crumbed,,https://assets.woolworths.com.au/images/1005/351196.jpg?impolicy=wowsmkqiema&w=260&h=260,$3.70,$3.70 / 1EA,3.8,5743, Add to cart , Save to list 
Ingham's Turkey Mince 500g,https://www.woolworths.com.au/shop/productdetails/310742/ingham-s-turkey-mince,,https://assets.woolworths.com.au/images/1005/310742.jpg?impolicy=wowsmkqiema&w=260&h=260,$6.50,$13.00 / 1KG,,, Add to cart , Save to list 
